Time,x,y,z, ------ 
37.952,-0.01,-0.05,9.81,  
38.124,-0.03,-0.09,9.75,  
38.292,-0.06,-0.05,9.88,  
38.464,-0.05,-0.09,9.79,  
38.635,-0.05,-0.11,9.92,  
38.808,-0.06,-0.1,9.93,  
39.142,-0.03,-0.08,9.76,  
39.314,-0.03,-0.08,9.83,  
39.487,-0.04,-0.03,9.78,  
39.66,-0.05,-0.06,9.89,  
39.833,-0.06,-0.09,9.81,  
40.007,-0.06,-0.11,9.87,  
40.18,0.01,-0.09,9.74,  
40.35,-0.06,-0.15,9.77,  
40.523,0.01,-0.05,9.84,  
40.694,-0.01,-0.06,9.83,  
40.871,-0.03,-0.06,9.87,  
41.044,0,-0.11,9.79,  
41.217,-0.05,-0.1,9.85,  
41.394,-0.05,-0.03,9.8,  
41.569,0.01,-0.05,9.8,  
41.743,-0.02,-0.07,9.83,  
41.916,-0.08,-0.08,9.85,  
42.185,-0.01,-0.09,9.84,  
42.357,-0.09,-0.08,9.84,  
42.531,0,-0.1,9.82,  
42.705,0.01,-0.04,9.86,  
42.876,-0.12,-0.06,9.81,  
43.049,0,-0.08,9.83,  
43.223,-0.04,-0.13,9.79,  
43.398,0.03,-0.04,9.89,  
43.574,-0.02,-0.08,9.74,  
43.75,-0.01,-0.04,9.8,  
43.923,-0.03,-0.07,9.87,  
44.098,0.01,-0.15,9.75,  
44.274,-0.01,-0.06,9.78,  
44.446,0.03,-0.08,9.86,  
44.623,-0.01,-0.06,9.84,  
44.795,-0.02,-0.03,9.87,  
45.117,-0.07,-0.06,9.86,  
45.277,-0.03,-0.12,9.86,  
45.439,-0.03,-0.12,9.77,  
45.601,-0.02,-0.13,9.85,  
45.764,-0.04,-0.12,9.84,  
45.926,-0.07,-0.04,9.78,  
46.092,-0.08,-0.05,9.8,  
46.257,-0.03,-0.11,9.87,  
46.42,-0.02,-0.1,9.74,  
46.583,0.01,-0.04,9.77,  
46.748,0.04,-0.06,9.86,  
46.911,-0.03,-0.12,9.77,  
47.075,-0.02,-0.07,9.82,  
47.243,0,-0.12,9.73,  
47.407,-0.04,-0.08,9.83,  
47.57,0,-0.04,9.85,  
47.737,-0.05,-0.07,9.74,  
48.055,0.02,-0.08,9.89,  
48.218,-0.06,-0.08,9.84,  
48.381,-0.05,-0.07,9.87,  
48.544,0.06,-0.07,9.87,  
48.708,0.07,-0.06,9.8,  
48.875,-0.02,-0.11,9.84,  
49.039,-0.06,-0.02,9.76,  
49.204,0.01,-0.1,9.77,  
49.371,-0.08,-0.09,9.84,  
49.535,-0.01,-0.12,9.84,  
49.699,0,-0.06,9.75,  
49.865,-0.02,-0.02,9.84,  
50.03,-0.1,-0.06,9.78,  
50.195,-0.05,-0.08,9.77,  
50.361,-0.02,-0.12,9.84,  
50.528,-0.01,-0.06,9.84,  
50.692,0.01,-0.05,9.81,  
51.016,-0.04,-0.08,9.8,  
51.181,0.03,-0.05,9.77,  
51.345,-0.03,-0.09,9.83,  
51.512,-0.01,-0.08,9.72,  
51.677,-0.06,-0.12,9.79,  
51.843,0,-0.08,9.77,  
52.012,-0.01,-0.09,9.86,  
52.181,0.01,-0.08,9.73,  
52.349,-0.02,-0.06,9.8,  
52.514,0.03,-0.05,9.79,  
52.679,-0.01,-0.07,9.79,  
