 -----, ------, ------, -------, ------ 
Time, X, Y, Z, A 
18.316, -0.026, 4.893, -0.389, 1001.84 
18.35, -0.036, 4.899, -0.395, 1001.7 
18.385, -0.033, 4.903, -0.398, 1001.9 
18.419, -0.038, 4.908, -0.378, 1001.94 
18.454, -0.032, 4.905, -0.389, 1001.92 
18.489, -0.023, 4.911, -0.39, 1001.95 
18.523, -0.029, 4.897, -0.389, 1001.95 
18.562, -0.033, 4.895, -0.391, 1002.01 
18.596, -0.039, 4.908, -0.394, 1001.96 
18.631, -0.02, 4.903, -0.389, 1001.88 
18.665, -0.039, 4.903, -0.379, 1001.83 
18.701, -0.036, 4.897, -0.389, 1001.76 
18.735, -0.033, 4.899, -0.382, 1001.88 
18.769, -0.036, 4.91, -0.392, 1001.83 
18.804, -0.043, 4.908, -0.395, 1001.95 
18.838, -0.036, 4.895, -0.382, 1001.89 
18.873, -0.032, 4.892, -0.385, 1001.96 
18.908, -0.035, 4.893, -0.386, 1001.9 
18.942, -0.035, 4.906, -0.385, 1001.78 
18.977, -0.042, 4.901, -0.394, 1001.84 
19.011, -0.049, 4.896, -0.388, 1001.88 
19.045, -0.036, 4.906, -0.385, 1001.69 
19.08, -0.037, 4.891, -0.392, 1001.92 
19.115, -0.038, 4.905, -0.377, 1001.68 
19.149, -0.03, 4.897, -0.389, 1002.03 
19.184, -0.026, 4.892, -0.385, 1001.86 
19.218, -0.031, 4.897, -0.391, 1001.95 
19.251, -0.036, 4.903, -0.388, 1001.93 
19.287, -0.038, 4.897, -0.392, 1001.8 
19.321, -0.038, 4.905, -0.389, 1001.76 
19.355, -0.035, 4.891, -0.386, 1001.75 
19.394, -0.026, 4.895, -0.39, 1001.91 
19.429, -0.036, 4.902, -0.389, 1001.95 
19.463, -0.035, 4.893, -0.378, 1001.9 
19.497, -0.035, 4.898, -0.388, 1001.8 
19.533, -0.033, 4.896, -0.379, 1001.87 
19.567, -0.041, 4.897, -0.383, 1001.86 
19.601, -0.032, 4.902, -0.396, 1001.78 
19.636, -0.037, 4.905, -0.388, 1001.97 
19.671, -0.032, 4.892, -0.395, 1001.95 
19.705, -0.031, 4.903, -0.377, 1002.0 
19.74, -0.026, 4.897, -0.382, 1001.94 
19.775, -0.037, 4.898, -0.386, 1001.82 
19.809, -0.037, 4.898, -0.378, 1001.83 
19.843, -0.035, 4.892, -0.397, 1001.86 
19.878, -0.044, 4.899, -0.383, 1001.95 
19.913, -0.037, 4.921, -0.397, 1001.98 
19.948, -0.037, 4.892, -0.378, 1001.84 
19.982, -0.033, 4.897, -0.38, 1002.04 
20.016, -0.042, 4.915, -0.401, 1001.7 
 -----, ------, ------, -------, ------ 
Time, X, Y, Z, A 
0.0, 0.0, 0.0, 0.0, 0.0 
0.00292969, -0.066, 4.891, -0.446, 1001.73 
0.0379639, -0.057, 4.885, -0.443, 1001.75 
0.0718994, -0.049, 4.895, -0.447, 1001.62 
0.106934, -0.05, 4.896, -0.453, 1001.72 
0.140991, -0.042, 4.897, -0.449, 1001.8 
0.17395, -0.048, 4.897, -0.451, 1001.86 
0.209961, -0.062, 4.893, -0.444, 1001.97 
0.243896, -0.055, 4.895, -0.449, 1001.92 
0.277954, -0.048, 4.898, -0.444, 1001.8 
0.312988, -0.051, 4.906, -0.439, 1001.83 
0.346924, -0.048, 4.895, -0.439, 1001.88 
0.381958, -0.062, 4.895, -0.427, 1001.92 
0.416992, -0.044, 4.889, -0.431, 1001.78 
0.450928, -0.053, 4.887, -0.432, 1001.84 
0.485962, -0.062, 4.891, -0.438, 1001.73 
0.519897, -0.05, 4.904, -0.434, 1001.89 
0.554932, -0.051, 4.887, -0.426, 1002.02 
0.588989, -0.055, 4.893, -0.431, 1002.14 
0.625, -0.049, 4.887, -0.445, 1001.88 
0.658936, -0.039, 4.889, -0.451, 1001.76 
0.692993, -0.061, 4.891, -0.439, 1002.05 
0.727905, -0.055, 4.884, -0.437, 1001.71 
0.761963, -0.056, 4.896, -0.443, 1001.84 
0.796997, -0.05, 4.872, -0.443, 1002.1 
0.831909, -0.041, 4.88, -0.426, 1001.94 
0.865967, -0.057, 4.917, -0.455, 1001.87 
0.901001, -0.055, 4.91, -0.428, 1002.06 
0.934937, -0.05, 4.863, -0.451, 1002.06 
0.969971, -0.053, 4.884, -0.441, 1001.85 
1.00488, -0.061, 4.897, -0.455, 1001.79 
1.03992, -0.05, 4.899, -0.452, 1002.0 
1.07397, -0.06, 4.891, -0.45, 1001.84 
1.10791, -0.056, 4.891, -0.437, 1002.0 
1.14294, -0.06, 4.891, -0.437, 1002.0 
1.177, -0.045, 4.889, -0.443, 1002.03 
1.21289, -0.048, 4.904, -0.441, 1001.95 
1.24695, -0.044, 4.89, -0.444, 1001.88 
1.28088, -0.06, 4.895, -0.446, 1001.88 
1.31897, -0.057, 4.889, -0.446, 1001.73 
1.354, -0.054, 4.898, -0.447, 1002.03 
1.38794, -0.054, 4.892, -0.446, 1001.83 
1.42297, -0.048, 4.891, -0.446, 1001.81 
1.45789, -0.065, 4.88, -0.438, 1001.97 
1.49194, -0.056, 4.898, -0.449, 1001.98 
1.52698, -0.045, 4.898, -0.453, 1001.89 
1.56091, -0.048, 4.938, -0.44, 1001.99 
1.59497, -0.045, 4.896, -0.413, 1001.82 
1.62988, -0.047, 4.89, -0.415, 1002.03 
1.66492, -0.06, 4.896, -0.427, 1002.0 
1.69995, -0.045, 4.902, -0.45, 1002.12 
1.73389, -0.044, 4.89, -0.45, 1001.91 
1.76794, -0.051, 4.899, -0.45, 1001.91 
1.80298, -0.051, 4.892, -0.451, 1002.22 
1.83789, -0.06, 4.893, -0.439, 1001.64 
1.87195, -0.055, 4.892, -0.447, 1001.9 
1.90698, -0.039, 4.889, -0.444, 1002.0 
1.94092, -0.06, 4.892, -0.45, 1001.74 
1.97595, -0.051, 4.895, -0.451, 1002.06 
2.00989, -0.042, 4.909, -0.412, 1001.83 
2.0459, -0.095, 4.866, -0.711, 1001.97 
2.07996, -0.013, 4.935, -0.337, 1002.02 
2.11389, -0.092, 4.889, -0.452, 1002.24 
2.14795, -0.01, 4.954, -0.467, 1001.82 
2.18298, -0.224, 4.777, -0.664, 1002.14 
2.21692, 0.147, 5.024, -0.4, 1001.94 
2.25293, -0.151, 4.891, -0.65, 1002.07 
2.28699, -0.063, 4.823, -0.525, 1001.95 
2.32092, 0.017, 4.944, -0.408, 1001.82 
2.35596, -0.026, 4.908, -0.424, 1001.71 
2.38989, -0.109, 4.849, -0.42, 1002.03 
2.42395, -0.025, 4.917, -0.45, 1001.89 
2.45898, -0.068, 4.854, -0.211, 1001.9 
2.4939, -0.059, 4.879, -0.441, 1001.84 
2.52795, -0.043, 4.891, -0.282, 1001.87 
2.56299, -0.004, 4.921, -0.641, 1001.97 
2.60095, -0.1, 4.857, -0.737, 1002.05 
2.63489, -0.044, 4.884, -1.625, 1001.94 
2.66992, 0.78, 21.705, 4.81, 1001.86 
2.70496, -32.364, -5.054, -11.7, 1001.79 
2.73889, 21.824, 4.973, -17.037, 1002.11 
2.77295, 5.55, -1.115, -4.325, 1001.79 
2.80798, -1.756, 2.486, 6.034, 1001.96 
2.84192, -11.582, 6.464, 4.976, 1001.75 
2.87793, -4.107, -7.7, 5.535, 1001.75 
2.91199, 6.243, -1.521, 1.062, 1002.0 
2.94592, -7.084, 4.262, 2.587, 1001.76 
2.98096, -9.93, -6.145, -1.614, 1001.66 
3.01489, -7.218, -0.038, -0.535, 1001.76 
3.04895, -1.43, -2.589, 3.35, 1001.9 
3.08496, -6.188, -0.804, 5.139, 1002.16 
3.1189, -4.836, -0.352, 4.27, 1001.75 
3.15295, -5.967, 0.707, -3.275, 1001.56 
3.18689, -2.338, -2.016, 0.224, 1001.88 
3.22192, -9.328, 2.14, -1.328, 1001.67 
3.25598, -2.847, 0.818, -1.655, 1002.11 
3.29089, -9.559, -0.712, 0.122, 1001.83 
3.32495, -3.539, -0.178, -0.636, 1001.94 
3.35999, -4.461, 0.091, -0.244, 1002.03 
3.39392, -5.049, -0.118, -0.682, 1001.92 
3.42896, -4.877, 0.044, -0.808, 1001.97 
3.46399, -4.729, 0.346, -0.124, 1001.9 
3.49792, -5.007, 0.359, -0.494, 1002.03 
3.53198, -5.157, 0.822, -0.554, 1002.0 
3.56689, -5.063, 0.817, 0.236, 1002.18 
3.60095, -5.951, 0.966, -0.091, 1001.8 
3.63599, -3.73, 0.73, 0.899, 1001.95 
3.6709, -4.741, 0.016, -0.255, 1001.95 
3.70496, -4.829, 0.66, 0.084, 1001.98 
3.73999, -4.848, 0.791, 0.398, 1002.19 
3.77393, -4.577, 0.932, 0.467, 1002.01 
3.80798, -4.971, 1.583, 0.166, 1001.9 
3.8429, -4.751, 1.662, 0.325, 1001.92 
3.88098, -5.127, 1.327, 0.181, 1001.84 
3.91589, -4.813, 1.39, 0.248, 1001.82 
3.95093, -4.741, 1.427, 0.84, 1001.74 
3.98499, -5.281, 1.424, 0.206, 1001.93 
4.0199, -4.589, 1.482, -0.172, 1001.84 
4.05396, -4.538, 1.631, -0.17, 1002.07 
4.08899, -4.633, 1.516, -0.132, 1001.81 
4.12292, -4.705, 1.622, -0.062, 1001.78 
4.15796, -4.694, 1.67, -0.048, 1001.99 
4.19189, -4.716, 1.621, -0.026, 1001.9 
4.22693, -4.69, 1.588, -0.067, 1001.96 
4.26099, -4.685, 1.58, -0.075, 1002.17 
4.2959, -4.682, 1.625, -0.057, 1001.87 
4.32996, -4.649, 1.755, 0.004, 1001.9 
4.36499, -4.582, 1.771, -0.077, 1001.79 
4.39893, -4.577, 1.761, -0.029, 1001.97 
4.43298, -4.652, 1.851, -0.024, 1001.97 
4.4679, -4.649, 1.979, -0.024, 1002.0 
4.50293, -4.56, 2.039, -0.057, 1001.95 
4.53796, -4.36, 1.615, -0.018, 1001.84 
4.5719, -4.627, 2.107, -0.007, 1001.91 
4.60693, -4.392, 2.096, -0.1, 1001.96 
4.64099, -4.532, 1.95, -0.209, 1001.93 
4.67493, -4.512, 2.148, -0.148, 1001.91 
4.70996, -4.411, 2.314, -0.153, 1001.99 
4.745, -4.329, 2.327, -0.164, 1001.95 
4.77893, -4.292, 2.418, -0.203, 1001.94 
4.81299, -4.293, 2.453, -0.195, 1002.03 
4.84692, -4.275, 2.521, -0.193, 1002.04 
4.88196, -4.264, 2.608, -0.236, 1002.04 
4.91699, -4.13, 2.621, -0.251, 1001.94 
4.95093, -4.331, 2.766, -0.36, 1001.85 
4.98596, -4.112, 2.705, -0.3, 1001.71 
5.021, -4.118, 2.649, -0.318, 1002.01 
5.05493, -4.105, 2.79, -0.309, 1002.18 
5.08899, -4.004, 2.885, -0.324, 1001.81 
5.12793, -3.934, 2.922, -0.352, 1002.04 
5.16296, -3.897, 3.003, -0.388, 1001.93 
5.1969, -3.893, 3.019, -0.363, 1001.98 
5.23096, -3.848, 3.05, -0.419, 1001.88 
5.26599, -3.823, 3.123, -0.418, 1002.28 
5.29993, -3.866, 3.194, -0.441, 1001.95 
5.33594, -3.781, 3.228, -0.441, 1001.93 
5.37, -3.678, 3.271, -0.482, 1002.13 
5.40393, -3.704, 3.199, -0.464, 1001.99 
5.43896, -3.702, 3.222, -0.486, 1001.87 
5.4729, -3.662, 3.264, -0.497, 1001.93 
5.50696, -3.645, 3.287, -0.502, 1001.82 
5.54297, -3.586, 3.332, -0.541, 1001.88 
5.5769, -3.608, 3.345, -0.483, 1001.97 
5.61096, -3.567, 3.382, -0.499, 1001.76 
5.646, -3.382, 3.465, -0.524, 1001.93 
5.67993, -3.197, 3.689, -0.555, 1001.93 
5.71399, -3.136, 3.51, -0.465, 1002.07 
5.75, -3.157, 3.403, -0.31, 1001.75 
5.78394, -3.45, 3.556, -0.513, 1001.73 
5.81799, -3.185, 4.241, -0.639, 1002.32 
5.85291, -2.867, 3.768, -0.268, 1002.02 
5.88696, -2.656, 4.296, -0.402, 1001.96 
5.922, -2.694, 4.281, -0.391, 1001.84 
5.95691, -2.82, 3.977, -0.382, 1002.1 
5.99097, -2.783, 4.064, -0.208, 1001.86 
6.026, -2.611, 3.899, -0.182, 1001.96 
6.05994, -2.412, 4.162, -0.193, 1002.03 
6.09399, -1.963, 4.329, 0.256, 1001.88 
6.12988, -2.265, 4.895, 0.171, 1001.85 
6.16394, -2.04, 4.302, 0.245, 1001.94 
6.1969, -2.063, 4.545, 0.017, 1001.79 
6.23193, -1.872, 4.649, -0.112, 1001.87 
6.26599, -1.796, 4.658, -0.165, 1001.78 
6.29993, -1.613, 4.636, -0.112, 1002.14 
6.33496, -1.542, 4.763, -0.087, 1002.1 
6.3739, -1.543, 4.37, -0.068, 1002.06 
6.40796, -1.484, 4.624, 0.15, 1001.88 
6.44092, -1.138, 5.247, 0.069, 1001.86 
6.47595, -0.805, 5.501, -0.307, 1001.87 
6.50989, -1.48, 4.453, -0.193, 1002.08 
6.54492, -1.043, 4.661, -0.1, 1002.07 
6.57996, -1.114, 4.928, 0.005, 1001.93 
6.61389, -1.574, 4.758, 0.103, 1002.0 
6.64795, -1.199, 4.843, -0.15, 1001.95 
6.68298, -1.241, 4.771, -0.08, 1001.88 
6.71692, -1.003, 4.902, -0.029, 1001.88 
6.75195, -1.758, 4.307, -0.793, 1001.63 
6.78699, -0.992, 4.849, 0.17, 1001.86 
6.82092, -1.086, 4.819, -0.081, 1001.79 
6.85498, -0.957, 4.836, -0.118, 1001.98 
6.88892, -0.822, 4.765, -1.088, 1001.88 
6.92395, -0.638, 4.771, -0.84, 1001.88 
6.95898, -1.178, 4.788, -0.367, 1001.88 
6.9939, -0.96, 4.782, -0.181, 1001.77 
7.02795, -0.467, 4.969, -0.024, 1001.88 
7.06299, -0.274, 5.149, -0.11, 1001.84 
7.09692, -0.258, 4.732, -0.435, 1001.84 
7.13098, -0.087, 4.455, -0.142, 1002.06 
7.16699, 0.176, 5.111, -0.717, 1001.95 
7.20093, -0.02, 4.944, -0.376, 1002.16 
7.23596, -0.15, 4.909, -0.307, 1002.12 
7.2699, -0.112, 4.881, -0.47, 1001.96 
7.30396, -0.061, 4.909, -0.445, 1002.03 
7.33899, -0.102, 4.871, -0.384, 1001.8 
7.3739, -0.063, 4.903, -0.468, 1001.94 
7.40796, -0.081, 4.915, -0.453, 1001.87 
7.44189, -0.103, 4.862, -0.428, 1001.72 
7.47693, -0.077, 4.898, -0.451, 1001.91 
7.51489, -0.078, 4.897, -0.437, 1001.91 
7.54993, -0.09, 4.89, -0.43, 1001.92 
7.58496, -0.083, 4.901, -0.441, 1001.97 
7.62, -0.081, 4.895, -0.434, 1001.92 
7.65393, -0.099, 4.886, -0.441, 1001.88 
7.68799, -0.081, 4.92, -0.44, 1001.9 
7.72192, -0.092, 4.873, -0.432, 1002.18 
7.75696, -0.083, 4.865, -0.438, 1001.84 
7.79199, -0.08, 4.871, -0.44, 1001.97 
7.8269, -0.085, 4.884, -0.449, 1002.03 
7.86096, -0.083, 4.884, -0.437, 1001.95 
7.8949, -0.081, 4.889, -0.445, 1001.94 
7.92993, -0.092, 4.893, -0.447, 1002.0 
7.96399, -0.095, 4.896, -0.437, 1001.87 
8.0, -0.092, 4.896, -0.441, 1002.06 
8.03394, -0.09, 4.896, -0.455, 1002.1 
8.06897, -0.09, 4.891, -0.453, 1002.14 
8.10291, -0.086, 4.85, -0.447, 1001.85 
8.13599, -0.086, 4.91, -0.427, 1001.8 
8.172, -0.086, 4.911, -0.434, 1002.05 
8.20593, -0.091, 4.898, -0.438, 1001.98 
8.23999, -0.089, 4.88, -0.451, 1002.06 
8.2749, -0.092, 4.887, -0.447, 1002.1 
8.30896, -0.097, 4.895, -0.447, 1002.1 
8.34399, -0.083, 4.897, -0.445, 1001.93 
8.37891, -0.09, 4.891, -0.433, 1002.12 
8.41296, -0.087, 4.899, -0.45, 1001.9 
8.448, -0.086, 4.895, -0.455, 1002.04 
8.48193, -0.083, 4.898, -0.456, 1002.04 
8.51599, -0.09, 4.893, -0.443, 1001.96 
8.5509, -0.092, 4.897, -0.446, 1001.99 
8.58594, -0.081, 4.892, -0.44, 1002.0 
8.6239, -0.086, 4.89, -0.45, 1002.05 
8.65894, -0.08, 4.892, -0.445, 1001.79 
8.69189, -0.091, 4.904, -0.449, 1002.04 
8.72693, -0.085, 4.883, -0.452, 1001.87 
8.76099, -0.09, 4.89, -0.453, 1001.8 
8.79492, -0.093, 4.898, -0.459, 1001.98 
8.82898, -0.081, 4.891, -0.437, 1002.0 
8.86389, -0.092, 4.896, -0.441, 1001.95 
8.89795, -0.09, 4.896, -0.439, 1001.84 
8.93298, -0.081, 4.884, -0.437, 1001.86 
8.96692, -0.079, 4.885, -0.413, 1001.82 
9.00293, -0.092, 4.885, -0.486, 1001.91 
9.03699, -0.093, 4.897, -0.471, 1001.92 
9.07092, -0.103, 4.889, -0.434, 1001.99 
9.10596, -0.106, 4.899, -0.434, 1001.86 
9.13989, -0.078, 4.893, -0.449, 1001.93 
9.17493, -0.077, 4.892, -0.455, 1002.02 
9.20996, -0.079, 4.891, -0.451, 1001.91 
9.2439, -0.096, 4.896, -0.445, 1001.98 
9.27893, -0.099, 4.891, -0.444, 1002.0 
9.31299, 2.276, 6.511, -2.451, 1001.84 
9.34692, -4.315, 3.693, -0.69, 1001.77 
9.38098, 1.019, 3.771, -0.581, 1002.04 
9.41589, -1.189, 6.849, -0.287, 1002.01 
9.45093, 0.628, 5.657, -1.158, 1002.06 
9.48499, 0.784, 4.889, -0.598, 1001.96 
9.51892, -0.156, 5.383, -0.44, 1001.91 
9.55396, -0.33, 5.107, -0.361, 1001.92 
9.58899, -0.169, 5.006, -0.976, 1001.87 
9.62292, -0.651, 4.749, -1.036, 1001.91 
9.65796, -1.263, 5.287, 1.109, 1001.92 
9.69189, 0.681, 4.638, -0.435, 1001.8 
9.72998, 0.491, 5.367, -1.068, 1001.67 
9.76489, -0.413, 4.715, -0.657, 1001.96 
9.79895, 1.918, 5.076, -1.659, 1001.91 
9.83398, 0.518, 5.501, 1.561, 1002.08 
9.8689, -0.339, 4.589, -2.291, 1001.87 
9.90295, -0.593, 5.049, -0.033, 1001.94 
9.93591, 0.227, 6.31, -2.106, 1001.98 
9.97095, 1.153, 6.378, -0.444, 1002.17 
10.006, 1.962, 4.169, 0.098, 1002.33 
10.0409, 3.528, 5.447, -0.039, 1001.89 
10.075, 1.944, 4.29, -1.14, 1001.88 
10.11, 2.332, 3.768, -0.508, 1002.05 
10.1439, 2.093, -0.134, -1.919, 1001.98 
10.178, 3.182, 2.96, -0.461, 1002.06 
10.214, 3.304, 4.848, -1.973, 1001.75 
10.2479, 1.944, 4.204, -0.318, 1002.12 
10.282, 2.285, 3.223, -1.683, 1001.96 
10.3159, 5.073, 2.035, -1.909, 1001.89 
10.351, -8.551, 6.422, 2.69, 1001.93 
10.3849, 3.168, 6.511, -3.406, 1001.99 
10.4199, 4.281, 3.017, -2.706, 1001.98 
10.454, 2.176, 6.079, -2.536, 1001.79 
10.4889, 2.497, 3.91, 2.456, 1001.85 
10.5229, -1.985, 3.594, -0.51, 1001.87 
10.558, -1.129, 3.813, -1.356, 1001.88 
10.5919, -1.184, 6.115, 0.135, 1001.87 
10.627, 0.144, 5.718, -0.114, 1001.73 
10.6609, 0.165, 4.563, 0.942, 1001.88 
10.6959, -0.057, 4.631, -0.044, 1002.06 
10.73, -2.083, 5.195, -1.076, 1002.04 
10.7639, -0.467, 3.624, -0.757, 1001.87 
10.799, 1.816, 6.648, -1.811, 1001.84 
10.8379, 0.16, 7.876, -2.469, 1001.81 
10.8729, -1.336, 5.116, -0.931, 1001.91 
10.907, -1.346, -1.17, 0.662, 1001.9 
10.9409, -0.358, 6.715, -1.48, 1001.79 
10.976, -1.12, 3.626, -1.724, 1001.81 
11.0089, -1.109, 4.978, -1.766, 1002.06 
11.0439, -1.15, 4.933, -1.663, 1001.87 
11.079, -0.531, 4.851, -1.792, 1001.83 
11.1129, -1.568, 3.232, -0.109, 1002.07 
11.1479, -2.826, 3.83, -0.555, 1001.78 
11.1819, -3.437, 3.202, -0.56, 1002.01 
11.2159, -3.753, 2.274, -0.086, 1002.0 
11.252, -4.038, 2.979, -0.299, 1001.86 
11.2859, -4.354, 3.43, -0.615, 1002.04 
11.3199, -4.424, 3.612, -0.333, 1001.97 
11.355, -3.778, 2.678, -1.066, 1001.95 
11.3889, -4.826, 2.522, -0.893, 1001.96 
11.424, -4.197, 2.624, -1.159, 1002.14 
11.459, -4.027, 1.994, -0.53, 1002.06 
11.4929, -4.537, 1.287, 0.212, 1002.14 
11.528, -4.758, 0.187, 0.434, 1001.81 
11.5619, -4.924, 0.106, 0.379, 1002.07 
11.5959, -4.897, -0.483, 0.632, 1001.9 
11.631, -4.854, -0.461, 0.431, 1001.96 
11.6659, -4.954, -0.601, 1.021, 1001.9 
11.7009, -4.592, -0.955, 1.133, 1001.8 
11.735, -0.79, 0.455, -4.978, 1001.99 
11.7699, -7.579, -1.421, -1.918, 1001.95 
11.804, -6.455, -2.394, 0.628, 1002.13 
11.839, -5.672, 4.111, -1.633, 1001.91 
11.8729, -4.496, 3.162, -0.547, 1001.89 
11.908, -0.023, -2.037, -0.248, 1001.96 
11.9459, -4.985, 2.461, -0.565, 1002.16 
11.981, -5.274, -0.005, -0.304, 1001.97 
12.0149, -4.836, 2.187, -1.164, 1002.05 
12.049, -4.411, 1.877, -1.248, 1002.17 
12.085, -3.096, 1.81, -2.814, 1002.22 
12.1189, -3.491, 3.094, -1.604, 1002.18 
12.153, -3.772, 3.102, -1.578, 1002.36 
12.1869, -3.954, 2.79, -1.442, 1002.19 
12.2219, -4.195, 2.55, -1.394, 1002.26 
12.256, -4.975, 2.067, -1.645, 1002.18 
12.292, -4.513, 2.085, -1.618, 1002.08 
12.3259, -3.698, 3.086, -1.056, 1002.33 
12.3589, -3.419, 3.137, -1.101, 1002.1 
12.3929, -2.188, 3.4, -1.391, 1002.36 
12.428, -1.242, 4.21, -1.103, 1002.05 
12.4629, -1.092, 4.924, -1.009, 1002.23 
12.4969, -0.323, 5.045, -1.05, 1002.23 
12.532, -0.312, 4.985, -1.056, 1002.15 
12.5659, 0.808, 5.265, -0.384, 1002.23 
12.6, 0.538, 4.934, -0.331, 1002.01 
12.6349, 0.583, 5.279, -0.19, 1002.0 
12.6699, 0.786, 5.213, -0.099, 1002.01 
12.705, 0.907, 5.299, -0.104, 1002.2 
12.7389, 0.794, 4.942, 0.109, 1001.84 
12.7739, 0.73, 4.758, 0.224, 1002.04 
12.808, 0.474, 4.465, 0.294, 1002.04 
12.8419, 1.159, 5.006, -0.051, 1002.12 
12.8779, 0.54, 4.532, 0.569, 1002.0 
12.912, 0.828, 4.68, 0.635, 1002.0 
12.9469, 0.684, 5.47, -0.095, 1002.03 
12.981, -0.322, 4.924, -0.13, 1002.02 
13.016, -0.483, 5.397, -0.13, 1002.02 
13.0549, -0.802, 5.066, 0.251, 1002.12 
13.089, -0.744, 5.145, 0.434, 1001.88 
13.1239, -0.926, 5.02, 1.423, 1001.84 
13.1589, -1.324, 3.91, 1.048, 1002.18 
13.193, -1.242, 4.057, 1.283, 1001.94 
13.2279, -1.716, 2.991, 1.906, 1001.78 
13.262, -2.782, 2.6, 2.709, 1001.9 
13.297, -2.65, 2.832, 1.907, 1002.14 
13.3319, -3.18, 3.325, 1.554, 1001.97 
13.366, -2.686, 3.393, 1.162, 1001.76 
13.3999, -3.257, 3.799, 0.743, 1002.01 
13.4349, -3.642, 4.391, -0.122, 1001.87 
13.469, -3.419, 4.79, 0.184, 1002.04 
13.5039, -2.692, 1.955, -0.541, 1001.99 
13.5389, -2.278, 5.897, 0.681, 1002.1 
13.573, -3.278, 3.375, -1.122, 1001.84 
13.6079, -4.543, 2.557, 1.54, 1001.87 
13.642, -3.555, 1.54, 1.377, 1001.77 
13.6759, -3.393, 1.871, 2.043, 1001.94 
13.7119, -4.494, 3.029, 1.36, 1002.03 
13.746, -4.758, 3.124, 0.579, 1002.03 
13.7799, -0.858, 3.216, 1.527, 1001.9 
13.814, -4.678, 6.446, 0.11, 1001.75 
13.849, -1.816, 3.898, -1.312, 1002.06 
13.8829, -4.294, 3.424, -3.075, 1001.92 
13.918, -3.278, 2.167, -2.127, 1001.93 
13.953, -5.828, 0.9, -2.766, 1002.03 
13.9869, -2.03, -2.835, -3.192, 1001.92 
14.022, -8.678, 11.051, 7.645, 1001.88 
14.0559, -4.816, 3.065, 2.048, 1001.96 
14.09, -4.459, -1.12, 0.875, 1001.92 
14.1189, -2.211, 4.0, -1.287, 1001.86 
14.153, -5.354, 4.227, -3.557, 1001.84 
14.1869, -2.672, 3.505, -1.525, 1001.99 
14.2219, -1.79, 3.884, -3.088, 1001.88 
14.256, -0.392, 3.888, -2.197, 1001.83 
14.2899, -0.702, 3.89, -3.722, 1002.02 
14.325, -0.144, 5.436, -2.888, 1001.88 
14.3589, -0.845, 3.919, -2.672, 1002.01 
14.392, -0.153, 4.382, -3.556, 1002.08 
14.427, -1.687, 5.325, -2.563, 1002.16 
14.4619, -2.637, 2.506, -2.861, 1001.98 
14.496, -2.495, 3.229, -3.746, 1001.69 
14.5299, -5.05, 1.123, -2.632, 1002.0 
14.5649, 0.086, 0.787, -2.286, 1001.93 
14.599, -0.349, 2.562, -2.743, 1002.16 
14.6329, 0.473, 2.186, -1.028, 1001.84 
14.6689, 2.546, 6.651, -4.929, 1002.03 
14.703, -0.61, 5.264, -2.395, 1001.84 
14.7369, -3.673, 13.753, -0.239, 1001.72 
14.771, 1.384, 3.697, -1.886, 1002.02 
14.8059, -1.566, 1.994, -4.074, 1001.9 
14.84, -1.345, 4.361, -3.49, 1001.91 
14.8739, -1.663, 4.688, -4.079, 1001.84 
14.908, -1.882, 4.225, -0.366, 1001.98 
14.943, -2.578, 2.02, -2.544, 1001.97 
14.9779, -2.154, 2.138, -2.827, 1001.87 
15.012, -3.776, 4.513, -5.535, 1001.83 
15.047, 0.245, -3.424, 1.734, 1001.9 
15.0809, -4.861, 5.868, -2.651, 1002.08 
15.115, -1.554, 6.53, -1.254, 1001.93 
15.1499, -3.842, 0.4, -2.022, 1002.0 
15.188, -1.905, 5.197, -2.384, 1001.92 
15.2219, -3.759, 3.957, -1.324, 1002.12 
15.257, -3.443, 2.09, -0.958, 1002.17 
15.292, -4.89, 2.504, -1.095, 1001.77 
15.3269, -5.048, 1.437, -0.145, 1002.03 
15.36, -5.597, 1.108, -0.179, 1001.92 
15.3949, -5.841, 1.624, 0.805, 1002.07 
15.429, -4.339, 1.254, 0.695, 1002.09 
15.464, -4.345, 1.446, 0.518, 1001.88 
15.4989, -4.487, 1.753, -0.054, 1001.94 
15.5339, -4.562, 1.387, 0.176, 1001.61 
15.568, -4.195, 2.23, 0.532, 1001.97 
15.6019, -4.618, 1.615, 0.438, 1001.9 
15.637, -4.946, 1.716, 0.444, 1001.98 
15.672, -4.25, 1.919, 0.613, 1001.9 
15.7069, -4.613, 1.647, 0.424, 1001.92 
15.741, -5.691, 1.756, 0.24, 1002.02 
15.7749, -5.441, 1.19, 0.09, 1001.96 
15.8099, -4.496, 2.339, 0.4, 1002.04 
15.844, -3.321, 2.472, 0.179, 1002.02 
15.8789, -3.857, 1.911, 0.008, 1001.99 
15.9139, -4.64, 1.635, 0.254, 1001.92 
15.948, -4.226, 1.795, 0.182, 1001.99 
15.9829, -3.605, 1.151, 0.645, 1001.92 
16.017, -4.563, 1.566, 0.677, 1002.01 
16.052, -4.376, 0.307, 0.739, 1002.03 
16.0909, -1.445, 1.793, 0.578, 1001.96 
16.126, -5.231, 1.29, 0.033, 1001.97 
16.1609, -5.411, -2.029, 2.581, 1001.99 
16.1949, -4.95, 3.706, 1.163, 1002.09 
16.23, -5.395, 0.244, 1.451, 1002.02 
