 -----, ------, ------, -------, ------ 
Time, X, Y, Z, A 
4.115, -0.037, 4.897, -0.39, 1001.97 
4.149, -0.03, 4.886, -0.38, 1001.97 
4.183, -0.032, 4.863, -0.389, 1001.78 
4.217, -0.039, 4.912, -0.419, 1001.94 
4.251, -0.039, 4.905, -0.406, 1001.89 
4.286, -0.032, 4.903, -0.397, 1001.74 
4.32, -0.036, 4.902, -0.383, 1001.96 
4.354, -0.026, 4.896, -0.37, 1001.65 
4.387, -0.038, 4.906, -0.398, 1001.94 
4.421, -0.028, 4.892, -0.394, 1001.94 
4.455, -0.028, 4.902, -0.39, 1001.78 
4.49, -0.039, 4.898, -0.384, 1001.96 
4.524, -0.039, 4.883, -0.397, 1001.86 
4.558, -0.024, 4.908, -0.416, 1001.8 
4.592, -0.038, 4.884, -0.333, 1002.05 
4.626, -0.03, 4.902, -0.36, 1001.85 
4.661, -0.032, 4.909, -0.388, 1002.16 
4.695, -0.042, 4.901, -0.374, 1002.02 
4.729, -0.031, 4.895, -0.407, 1001.95 
4.763, -0.038, 4.908, -0.379, 1001.97 
4.797, -0.038, 4.912, -0.389, 1001.77 
4.831, -0.037, 4.897, -0.388, 1001.99 
4.866, -0.041, 4.899, -0.378, 1001.82 
4.9, -0.033, 4.899, -0.389, 1001.81 
4.934, -0.038, 4.897, -0.386, 1001.86 
4.967, -0.044, 4.908, -0.395, 1002.01 
5.002, -0.037, 4.903, -0.386, 1001.86 
5.037, -0.031, 4.898, -0.392, 1001.9 
5.07, -0.035, 4.904, -0.394, 1001.77 
5.108, -0.031, 4.904, -0.391, 1001.9 
5.142, -0.042, 4.896, -0.383, 1001.99 
5.176, -0.035, 4.901, -0.384, 1001.84 
5.21, -0.032, 4.895, -0.389, 1001.84 
5.245, -0.029, 4.901, -0.384, 1002.02 
5.279, -0.032, 4.899, -0.396, 1001.82 
5.312, -0.031, 4.893, -0.401, 1001.76 
5.346, -0.029, 4.904, -0.396, 1001.58 
5.38, -0.031, 4.897, -0.39, 1002.19 
5.414, -0.042, 4.898, -0.379, 1001.9 
5.448, -0.042, 4.91, -0.389, 1002.07 
5.482, -0.041, 4.897, -0.395, 1001.85 
5.516, -0.032, 4.898, -0.402, 1001.99 
5.55, -0.032, 4.903, -0.396, 1001.81 
5.584, -0.031, 4.896, -0.384, 1001.81 
5.619, -0.037, 4.902, -0.368, 1002.08 
5.653, -0.03, 4.897, -0.378, 1001.89 
5.687, -0.035, 4.914, -0.382, 1001.75 
5.721, -0.038, 4.895, -0.396, 1001.98 
5.755, -0.03, 4.906, -0.398, 1001.86 
5.789, -0.035, 4.893, -0.394, 1001.86 
5.824, -0.025, 4.905, -0.386, 1002.07 
5.858, -0.039, 4.903, -0.376, 1001.93 
5.892, -0.038, 4.896, -0.402, 1001.9 
5.926, -0.038, 4.901, -0.398, 1001.97 
5.959, -0.029, 4.898, -0.394, 1001.9 
5.994, -0.042, 4.899, -0.403, 1001.77 
6.028, -0.037, 4.895, -0.384, 1002.0 
6.062, -0.035, 4.898, -0.386, 1001.72 
6.096, -0.028, 4.904, -0.39, 1001.91 
6.13, -0.033, 4.896, -0.389, 1002.03 
6.164, -0.033, 4.898, -0.383, 1001.64 
6.199, -0.036, 4.901, -0.388, 1001.75 
6.232, -0.03, 4.896, -0.395, 1001.73 
6.266, -0.03, 4.901, -0.391, 1001.91 
6.3, -0.041, 4.916, -0.382, 1001.68 
6.328, -0.037, 4.901, -0.374, 1002.07 
6.362, -0.031, 4.896, -0.41, 1001.88 
6.396, -0.036, 4.896, -0.38, 1001.84 
6.43, -0.037, 4.889, -0.389, 1002.04 
6.464, -0.039, 4.898, -0.38, 1001.96 
6.497, -0.033, 4.906, -0.385, 1002.12 
6.532, -0.025, 4.898, -0.403, 1001.98 
6.566, -0.033, 4.914, -0.395, 1001.83 
6.6, -0.033, 4.903, -0.391, 1001.96 
6.634, -0.035, 4.906, -0.386, 1002.08 
6.668, -0.041, 4.898, -0.39, 1002.0 
6.703, -0.024, 4.89, -0.385, 1002.0 
6.737, -0.024, 4.905, -0.391, 1001.76 
6.771, -0.044, 4.897, -0.394, 1001.89 
6.805, -0.042, 4.895, -0.376, 1002.04 
6.839, -0.039, 4.899, -0.385, 1001.93 
6.872, -0.037, 4.903, -0.39, 1001.92 
6.907, -0.033, 4.899, -0.394, 1001.6 
6.941, -0.041, 4.899, -0.39, 1001.88 
6.975, -0.041, 4.896, -0.383, 1002.01 
7.009, -0.031, 4.896, -0.408, 1002.0 
7.042, -0.036, 4.889, -0.384, 1001.81 
7.077, -0.041, 4.904, -0.396, 1001.82 
7.111, -0.033, 4.898, -0.378, 1001.89 
7.145, -0.035, 4.896, -0.385, 1001.95 
7.179, -0.03, 4.903, -0.389, 1001.89 
7.213, -0.032, 4.897, -0.394, 1001.96 
7.247, -0.031, 4.901, -0.398, 1001.93 
7.282, -0.039, 4.915, -0.392, 1001.76 
7.316, -0.041, 4.886, -0.39, 1001.83 
7.35, -0.045, 4.906, -0.395, 1001.75 
7.383, -0.038, 4.896, -0.398, 1002.04 
7.417, -0.032, 4.905, -0.392, 1001.8 
7.455, -0.025, 4.906, -0.383, 1001.9 
7.49, -0.042, 4.904, -0.353, 1002.02 
7.524, -0.031, 4.895, -0.402, 1001.82 
7.558, -0.035, 4.899, -0.403, 1002.1 
7.592, -0.033, 4.893, -0.397, 1001.77 
7.625, -0.041, 4.904, -0.413, 1001.91 
7.66, -0.035, 4.895, -0.382, 1001.74 
7.695, -0.032, 4.895, -0.384, 1001.9 
7.729, -0.035, 4.901, -0.395, 1001.82 
7.763, -0.031, 4.901, -0.392, 1002.14 
7.797, -0.038, 4.899, -0.4, 1001.8 
7.831, -0.033, 4.901, -0.395, 1001.91 
7.866, -0.043, 4.901, -0.401, 1001.84 
7.9, -0.047, 4.896, -0.385, 1001.83 
7.934, -0.032, 4.897, -0.39, 1002.07 
7.967, -0.028, 4.896, -0.391, 1001.91 
8.002, -0.028, 4.906, -0.392, 1001.96 
8.036, -0.036, 4.905, -0.386, 1001.85 
8.07, -0.038, 4.892, -0.401, 1002.1 
8.104, -0.042, 4.887, -0.404, 1001.74 
8.138, -0.03, 4.912, -0.388, 1001.93 
8.172, -0.03, 4.901, -0.371, 1001.85 
8.206, -0.032, 4.914, -0.392, 1001.85 
8.241, -0.044, 4.904, -0.38, 1001.79 
8.275, -0.032, 4.896, -0.394, 1001.83 
8.309, -0.028, 4.895, -0.378, 1002.11 
8.343, -0.035, 4.891, -0.39, 1001.93 
8.377, -0.037, 4.905, -0.395, 1001.87 
8.41199, -0.031, 4.899, -0.394, 1002.03 
8.445, -0.033, 4.902, -0.389, 1001.78 
8.479, -0.035, 4.897, -0.389, 1001.91 
8.513, -0.036, 4.902, -0.396, 1002.03 
