t,x,y,z
0.0,-0.683151,0.253639,5.06082
0.0030000000000001137,-0.66999,0.267996,5.0991
0.006000000000000227,-0.66999,0.267996,5.0991
0.016999999999995907,-0.594616,0.218943,5.20199
0.01999999999999602,-0.594616,0.218943,5.20199
0.022999999999996135,-0.582652,0.238086,5.24626
0.027000000000001023,-0.582652,0.238086,5.24626
0.030000000000001137,-0.582652,0.238086,5.24626
0.033999999999991815,-0.643669,0.293121,5.20199
0.03699999999999193,-0.643669,0.293121,5.20199
0.03999999999999204,-0.643669,0.293121,5.20199
0.042999999999992156,-0.619741,0.288335,5.16012
0.046999999999997044,-0.619741,0.288335,5.16012
0.04899999999999238,-0.619741,0.288335,5.16012
0.0519999999999925,-0.649651,0.29671,5.19003
0.05499999999999261,-0.649651,0.29671,5.19003
0.0589999999999975,-0.649651,0.29671,5.19003
0.06199999999999761,-0.624527,0.317049,5.22473
0.06499999999999773,-0.624527,0.317049,5.22473
0.06900000000000261,-0.624527,0.317049,5.22473
0.07200000000000273,-0.624527,0.317049,5.22473
0.07500000000000284,-0.599402,0.36012,5.10269
0.07800000000000296,-0.599402,0.36012,5.10269
0.08199999999999363,-0.599402,0.36012,5.10269
0.08499999999999375,-0.619741,0.443868,5.1003
0.08799999999999386,-0.619741,0.443868,5.1003
0.09099999999999397,-0.619741,0.443868,5.1003
0.09399999999999409,-0.474975,0.288335,5.07757
0.0969999999999942,-0.474975,0.288335,5.07757
0.09999999999999432,-0.474975,0.288335,5.07757
0.1039999999999992,-0.41994,0.329013,5.01535
0.10699999999999932,-0.41994,0.329013,5.01535
0.10999999999999943,-0.41994,0.329013,5.01535
0.11399999999999011,-0.478564,0.350548,5.10269
0.11699999999999022,-0.478564,0.350548,5.10269
0.11999999999999034,-0.478564,0.350548,5.10269
0.12299999999999045,-0.501296,0.332602,5.14337
0.12699999999999534,-0.501296,0.332602,5.14337
0.13100000000000023,-0.501296,0.332602,5.14337
0.13299999999999557,-0.480957,0.332602,5.19003
0.13599999999999568,-0.480957,0.332602,5.19003
0.14000000000000057,-0.480957,0.332602,5.19003
0.14300000000000068,-0.435493,0.26321,5.22233
0.1460000000000008,-0.435493,0.26321,5.22233
0.1490000000000009,-0.435493,0.26321,5.22233
0.1529999999999916,-0.435493,0.26321,5.19242
0.1559999999999917,-0.443868,0.297906,5.19242
0.15899999999999181,-0.443868,0.297906,5.19242
0.16199999999999193,-0.443868,0.297906,5.19242
0.16599999999999682,-0.454636,0.27996,5.1649
0.16899999999999693,-0.454636,0.27996,5.1649
0.17199999999999704,-0.454636,0.27996,5.1649
0.17399999999999238,-0.423529,0.26321,5.11346
0.17799999999999727,-0.423529,0.26321,5.11346
0.18099999999999739,-0.423529,0.26321,5.11346
0.1839999999999975,-0.382851,0.288335,5.02014
0.1869999999999976,-0.382851,0.288335,5.02014
0.1910000000000025,-0.382851,0.288335,5.02014
0.19400000000000261,-0.388834,0.386441,4.9675
0.19700000000000273,-0.388834,0.386441,4.9675
0.2009999999999934,-0.388834,0.386441,4.9675
0.20399999999999352,-0.294317,0.283549,5.02971
0.20699999999999363,-0.294317,0.283549,5.02971
0.20999999999999375,-0.294317,0.283549,5.02971
0.21399999999999864,-0.166301,0.234496,4.99023
0.21599999999999397,-0.166301,0.234496,4.99023
0.2189999999999941,-0.166301,0.234496,4.99023
0.22299999999999898,-0.166301,0.234496,5.03928
0.2259999999999991,-0.239282,0.265603,5.03928
0.23000000000000398,-0.239282,0.265603,5.03928
0.2330000000000041,-0.239282,0.265603,5.03928
0.2360000000000042,-0.294317,0.22014,5.05483
0.2389999999999901,-0.294317,0.22014,5.05483
0.242999999999995,-0.294317,0.22014,5.05483
0.2459999999999951,-0.342173,0.269192,5.01535
0.24899999999999523,-0.342173,0.269192,5.01535
0.25199999999999534,-0.342173,0.269192,5.01535
0.2560000000000002,-0.333799,0.29671,4.99621
0.25799999999999557,-0.333799,0.29671,4.99621
0.2609999999999957,-0.333799,0.29671,4.99621
0.2639999999999958,-0.32662,0.30987,5.01655
0.2680000000000007,-0.32662,0.30987,5.01655
0.2710000000000008,-0.32662,0.30987,5.01655
0.2740000000000009,-0.323031,0.354137,5.01535
0.277000000000001,-0.323031,0.354137,5.01535
0.2809999999999917,-0.323031,0.354137,5.01535
0.2839999999999918,-0.311067,0.392423,4.96989
0.28699999999999193,-0.311067,0.392423,4.96989
0.2909999999999968,-0.311067,0.392423,4.96989
0.29399999999999693,-0.311067,0.440279,4.90169
0.29699999999999704,-0.305085,0.440279,4.90169
0.29999999999999716,-0.305085,0.440279,4.90169
0.30299999999999727,-0.305085,0.440279,4.90169
0.3059999999999974,-0.275174,0.472582,4.84427
0.3089999999999975,-0.275174,0.472582,4.84427
0.3119999999999976,-0.275174,0.472582,4.84427
